variable,interval,flag_1,flag_0,N,bad_rate,y1_total,y0_total,y1_percent,y0_percent,WOE,y0/y1,total_percent,MIV,ori_IV
open_il_12m,2.0+,824.0,6974.0,7798.0,0.10566812003077712,12835.0,186091.0,0.0641994546162836,0.03747628848251662,-0.5382862897333561,8.46359223300971,0.039200506721092265,0.0143847139480735,0.04339276709064649
mths_since_rcnt_il,"0,0.0",368.0,4915.0,5283.0,0.06965739163354155,12835.0,186091.0,0.028671601090767433,0.02641180927610685,-0.08209589264714506,13.355978260869565,0.026557614389270384,0.00018551962622127233,0.0467140347974014
mths_since_rcnt_il,"0.0,3.0",1669.0,17206.0,18875.0,0.08842384105960265,12835.0,186091.0,0.1300350603817686,0.09246014046891037,-0.34102647154002275,10.309167165967645,0.09488452992570101,0.012814042356280982,0.0467140347974014
mths_since_rcnt_il,"3.0,8.0",3160.0,37980.0,41140.0,0.07681088964511425,12835.0,186091.0,0.24620179197506817,0.2040936960949213,-0.18757230927416177,12.018987341772151,0.20681057277580608,0.007898312783376963,0.0467140347974014
mths_since_rcnt_il,"8.0,15.0",3480.0,48742.0,52222.0,0.06663858144077209,12835.0,186091.0,0.27113361901051813,0.26192561703682604,-0.034551199432409585,14.00632183908046,0.26251973095522957,0.0003181475125670566,0.0467140347974014
mths_since_rcnt_il,"15.0,21.0",1549.0,26674.0,28223.0,0.054884314211813064,12835.0,186091.0,0.12068562524347487,0.14333847418735995,0.17201975970599026,17.220142027114267,0.1418768788393674,0.0038967376319832075,0.0467140347974014
mths_since_rcnt_il,"21.0,111.0",2388.0,46603.0,48991.0,0.04874364679226797,12835.0,186091.0,0.18605375925204518,0.25043124062958444,0.2971487341520129,19.515494137353432,0.24627751022993474,0.019129687099230578,0.0467140347974014
mths_since_rcnt_il,"111.0,114.0",38.0,412.0,450.0,0.08444444444444445,12835.0,186091.0,0.0029606544604596804,0.002213970584284033,-0.2906227974363404,10.842105263157896,0.002262147733327971,0.00021700335689477665,0.0467140347974014
mths_since_rcnt_il,"114.0,213.0",166.0,3421.0,3587.0,0.04627822693058266,12835.0,186091.0,0.012933385274639657,0.01838347905057203,0.3516404095615804,20.60843373493976,0.018031830932105405,0.00191647320751788,0.0467140347974014
mths_since_rcnt_il,213.0+,17.0,138.0,155.0,0.10967741935483871,12835.0,186091.0,0.0013245033112582781,0.0007415726714349431,-0.5800196459584924,8.117647058823529,0.0007791842192574123,0.0003381112233286882,0.0467140347974014
