variable,interval,flag_1,flag_0,N,bad_rate,y1_total,y0_total,y1_percent,y0_percent,WOE,y0/y1,total_percent,MIV,ori_IV
mths_since_rcnt_il,"3.0,8.0",2858,37980,40838,0.069983839,11618,186091,0.24599759,0.204093696,-0.186742556,13.2890133,0.2065561,0.00782524,0.051703345
mths_since_rcnt_il,"8.0,15.0",3176,48742,51918,0.061173389,11618,186091,0.27336891,0.261925617,-0.042761644,15.34697733,0.262598061,0.000489334,0.051703345
mths_since_rcnt_il,"15.0,21.0",1395,26674,28069,0.049698956,11618,186091,0.120072302,0.143338474,0.177114711,19.12114695,0.141971281,0.004120781,0.051703345
mths_since_rcnt_il,"21.0,52.0",1657,36115,37772,0.043868474,11618,186091,0.142623515,0.194071718,0.308019371,21.7954134,0.19104846,0.015847043,0.051703345
mths_since_rcnt_il,"52.0,53.0",7,460,467,0.014989293,11618,186091,0.000602513,0.002471909,1.411636159,65.71428571,0.002362057,0.002638906,0.051703345
mths_since_rcnt_il,"53.0,213.0",643,13861,14504,0.044332598,11618,186091,0.055345154,0.074485064,0.297009514,21.55676516,0.073360343,0.005684735,0.051703345
mths_since_rcnt_il,"213.0,219.0",5,10,15,0.333333333,11618,186091,0.000430367,5.37E-05,-2.080533001,2,7.59E-05,0.00078359,0.051703345
mths_since_rcnt_il,219.0+,8,128,136,0.058823529,11618,186091,0.000688587,0.000687836,-0.00109146,16,0.00068788,8.20E-10,0.051703345
open_il_12m,"0,0.0",5423,104159,109582,0.049488055,11618,186091,0.466775693,0.559720782,0.181589228,19.20689655,0.554259037,0.016877827,0.045933457
open_il_12m,"0.0,1.0",3865,56390,60255,0.064144054,11618,186091,0.332673438,0.303023789,-0.093350026,14.58990944,0.304766096,0.002767795,0.045933457
open_il_12m,"1.0,2.0",1570,18568,20138,0.077962062,11618,186091,0.135135135,0.09977914,-0.303316132,11.82675159,0.101856769,0.010724044,0.045933457
open_il_12m,2.0+,760,6974,7734,0.098267391,11618,186091,0.065415734,0.037476288,-0.557054388,9.176315789,0.039118098,0.015563791,0.045933457
il_util,"0,1.0",1412,25014,26426,0.053432226,11618,186091,0.121535548,0.134418107,0.100748347,17.71529745,0.133661088,0.001297897,0.046238255
il_util,"1.0,46.0",1025,24266,25291,0.040528251,11618,186091,0.088225168,0.130398568,0.390703399,23.67414634,0.127920327,0.016477291,0.046238255
il_util,"46.0,59.0",1115,22939,24054,0.046354037,11618,186091,0.095971768,0.123267649,0.250303932,20.57309417,0.121663657,0.006832266,0.046238255
il_util,"59.0,72.0",2042,34663,36705,0.055632748,11618,186091,0.175761749,0.186269083,0.058062934,16.97502449,0.18565164,0.000610087,0.046238255
il_util,"72.0,85.0",2883,39407,42290,0.068172145,11618,186091,0.248149423,0.211761987,-0.158568135,13.66874783,0.213900227,0.005769888,0.046238255
il_util,"85.0,106.0",2775,34262,37037,0.074925075,11618,186091,0.238853503,0.184114224,-0.260294061,12.34666667,0.187330875,0.014248309,0.046238255
il_util,"106.0,117.0",186,3298,3484,0.053386912,11618,186091,0.01600964,0.017722512,0.101644648,17.7311828,0.017621858,0.000174104,0.046238255
il_util,"117.0,180.0",176,2208,2384,0.073825503,11618,186091,0.015148907,0.011865163,-0.244321769,12.54545455,0.012058126,0.00080229,0.046238255
il_util,"180.0,181.0",1,0,1,1,11618,186091,8.61E-05,0,0,0,5.06E-06,0,0.046238255
il_util,181.0+,3,34,37,0.081081081,11618,186091,0.00025822,0.000182706,-0.345931946,11.33333333,0.000187144,2.61E-05,0.046238255
mo_sin_rcnt_tl,"0,1.0",1531,17227,18758,0.081618509,11618,186091,0.131778275,0.092572988,-0.353123378,11.2521228,0.094876814,0.013844303,0.047319046
mo_sin_rcnt_tl,"1.0,3.0",2929,40205,43134,0.067904669,11618,186091,0.252108797,0.216050212,-0.154349884,13.72652783,0.218169127,0.005565638,0.047319046
mo_sin_rcnt_tl,"3.0,9.0",4655,74806,79461,0.058582198,11618,186091,0.400671372,0.401986125,0.003276003,16.07003222,0.401908866,4.31E-06,0.047319046
mo_sin_rcnt_tl,"9.0,15.0",1607,31360,32967,0.048745715,11618,186091,0.138319849,0.168519703,0.197483927,19.51462352,0.166745065,0.005963986,0.047319046
mo_sin_rcnt_tl,"15.0,34.0",788,19307,20095,0.039213735,11618,186091,0.067825788,0.103750316,0.425044732,24.50126904,0.101639278,0.015269531,0.047319046
mo_sin_rcnt_tl,"34.0,49.0",59,1987,2046,0.028836755,11618,186091,0.005078327,0.010677572,0.743163617,33.6779661,0.010348543,0.004161155,0.047319046
mo_sin_rcnt_tl,"49.0,50.0",6,52,58,0.103448276,11618,186091,0.00051644,0.000279433,-0.614195932,8.666666667,0.00029336,0.000145569,0.047319046
mo_sin_rcnt_tl,"50.0,121.0",36,1091,1127,0.031943212,11618,186091,0.00309864,0.005862723,0.637650866,30.30555556,0.005700297,0.00176252,0.047319046
mo_sin_rcnt_tl,"121.0,123.0",3,4,7,0.428571429,11618,186091,0.00025822,2.15E-05,-2.485998109,1.333333333,3.54E-05,0.000588498,0.047319046
mo_sin_rcnt_tl,123.0+,4,52,56,0.071428571,11618,186091,0.000344293,0.000279433,-0.208730824,13,0.000283245,1.35E-05,0.047319046
open_acc_6m,"0,0.0",4230,82252,86482,0.048911912,11618,186091,0.364090205,0.441998807,0.193905531,19.44491726,0.437420654,0.015106909,0.042469734
open_acc_6m,"0.0,1.0",3645,59043,62688,0.0581451,11618,186091,0.313737304,0.317280255,0.011229445,16.19835391,0.31707206,3.98E-05,0.042469734
open_acc_6m,"1.0,2.0",2135,27676,29811,0.071617859,11618,186091,0.183766569,0.148722937,-0.211581217,12.96299766,0.15078221,0.007414574,0.042469734
open_acc_6m,"2.0,3.0",944,10810,11754,0.080313085,11618,186091,0.081253228,0.058089859,-0.335579437,11.45127119,0.059451011,0.00777315,0.042469734
open_acc_6m,3.0+,664,6310,6974,0.095210783,11618,186091,0.057152694,0.033908142,-0.522071376,9.503012048,0.035274064,0.012135315,0.042469734
dti,"0,16.74",4196,82756,86952,0.048256509,11618,186091,0.361163711,0.444707159,0.208084647,19.72259295,0.439797885,0.017384109,0.040311051
dti,"16.74,19.54",1361,22635,23996,0.056717786,11618,186091,0.117145808,0.121634039,0.037597475,16.63115356,0.121370297,0.000168746,0.040311051
dti,"19.54,19.55",16,60,76,0.210526316,11618,186091,0.001377173,0.000322423,-1.451924342,3.75,0.000384403,0.001531418,0.040311051
dti,"19.55,25.78",2901,42883,45784,0.063362747,11618,186091,0.249698743,0.230441021,-0.08026021,14.78214409,0.231572665,0.001545629,0.040311051
dti,"25.78,38.84",3057,36518,39575,0.077245736,11618,186091,0.263126184,0.196237325,-0.293308935,11.9456984,0.200167924,0.0196191,0.040311051
dti,"38.84,38.9",2,0,2,1,11618,186091,0.000172147,0,0,0,1.01E-05,0,0.040311051
dti,38.9+,85,1239,1324,0.064199396,11618,186091,0.007316233,0.006658033,-0.094271557,14.57647059,0.006696711,6.20E-05,0.040311051
all_util,"0,7.0",83,1214,1297,0.063993832,11618,186091,0.007144087,0.00652369,-0.090844818,14.62650602,0.006560146,5.64E-05,0.040827951
all_util,"7.0,8.0",3,197,200,0.015,11618,186091,0.00025822,0.001058622,1.410911258,65.66666667,0.001011588,0.001129296,0.040827951
all_util,"8.0,14.0",102,1773,1875,0.0544,11618,186091,0.00877948,0.009527597,0.081775311,17.38235294,0.009483635,6.12E-05,0.040827951
all_util,"14.0,29.0",504,11902,12406,0.040625504,11618,186091,0.043380961,0.063957956,0.388205282,23.61507937,0.062748787,0.007988098,0.040827951
all_util,"29.0,30.0",80,1332,1412,0.056657224,11618,186091,0.006885867,0.007157788,0.038730035,16.65,0.007141809,1.05E-05,0.040827951
all_util,"30.0,43.0",1150,25424,26574,0.043275382,11618,186091,0.098984335,0.13662133,0.322251486,22.10782609,0.134409663,0.012128578,0.040827951
all_util,"43.0,53.0",1567,29373,30940,0.050646412,11618,186091,0.134876915,0.157842131,0.15723274,18.74473516,0.156492623,0.003610884,0.040827951
all_util,"53.0,64.0",2472,39241,41713,0.059262101,11618,186091,0.212773283,0.210869951,-0.008985603,15.87419094,0.210981796,1.71E-05,0.040827951
